datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2020-03-10,43780.0,44560.0,43780.0,44350.0,22405,36100,44170.0,CU2003,copper,CU2003
2020-03-11,44190.0,44380.0,43900.0,43900.0,18645,35455,44220.0,CU2003,copper,CU2003
2020-03-12,43520.0,43860.0,42880.0,43130.0,16755,29255,43170.0,CU2003,copper,CU2003
2020-03-13,43120.0,43600.0,42500.0,43350.0,12045,23955,42950.0,CU2003,copper,CU2003
2020-03-16,43000.0,43240.0,42320.0,42320.0,5240,22610,43080.0,CU2003,copper,CU2003
2020-01-02,49450.0,49550.0,49440.0,49450.0,718,4155,49490.0,CU2006,copper,CU2006
2020-01-03,49330.0,49330.0,49060.0,49090.0,1521,4515,49220.0,CU2006,copper,CU2006
2020-01-06,48890.0,49180.0,48760.0,48990.0,1543,4877,49010.0,CU2006,copper,CU2006
2020-01-07,48970.0,49180.0,48930.0,49160.0,657,4945,49090.0,CU2006,copper,CU2006
2020-01-08,49070.0,49100.0,48840.0,49030.0,1376,5480,49010.0,CU2006,copper,CU2006
2020-01-09,49100.0,49290.0,48970.0,49120.0,901,5675,49120.0,CU2006,copper,CU2006
2020-01-10,49040.0,49170.0,49010.0,49160.0,455,5810,49080.0,CU2006,copper,CU2006
2020-01-13,49040.0,49350.0,48920.0,49130.0,842,6060,49080.0,CU2006,copper,CU2006
2020-01-14,49020.0,49490.0,49010.0,49400.0,1169,6291,49310.0,CU2006,copper,CU2006
2020-01-15,49460.0,49720.0,49320.0,49420.0,959,6409,49470.0,CU2006,copper,CU2006
2020-01-16,49430.0,49530.0,49320.0,49390.0,845,6612,49400.0,CU2006,copper,CU2006
2020-01-17,49630.0,49700.0,49320.0,49430.0,1132,6631,49510.0,CU2006,copper,CU2006
2020-01-20,49440.0,49480.0,49160.0,49300.0,628,6793,49290.0,CU2006,copper,CU2006
2020-01-21,49240.0,49240.0,48520.0,48600.0,3129,7909,48760.0,CU2006,copper,CU2006
2020-01-22,48600.0,48840.0,48520.0,48750.0,1136,8248,48690.0,CU2006,copper,CU2006
2020-01-23,48610.0,48610.0,48190.0,48260.0,1895,8665,48350.0,CU2006,copper,CU2006
2020-02-03,44970.0,45580.0,44960.0,45370.0,12297,13781,45310.0,CU2006,copper,CU2006
2020-02-04,45220.0,45580.0,45090.0,45570.0,9397,17925,45410.0,CU2006,copper,CU2006
2020-02-05,45500.0,45930.0,45350.0,45850.0,8440,21608,45710.0,CU2006,copper,CU2006
2020-02-06,46000.0,46460.0,45940.0,46310.0,5830,22479,46240.0,CU2006,copper,CU2006
2020-02-07,46100.0,46200.0,45870.0,46000.0,4969,23191,46000.0,CU2006,copper,CU2006
2020-02-10,45700.0,45880.0,45560.0,45770.0,7868,26129,45770.0,CU2006,copper,CU2006
2020-02-11,45860.0,46000.0,45780.0,45870.0,7411,27040,45890.0,CU2006,copper,CU2006
2020-02-12,45910.0,46050.0,45810.0,45900.0,8427,27881,45940.0,CU2006,copper,CU2006
2020-02-13,45890.0,46200.0,45890.0,46050.0,6932,28829,46060.0,CU2006,copper,CU2006
2020-02-14,46180.0,46290.0,46170.0,46280.0,3787,29324,46230.0,CU2006,copper,CU2006
2020-02-17,46180.0,46690.0,46180.0,46660.0,8553,31894,46420.0,CU2006,copper,CU2006
2020-02-18,46630.0,46640.0,46420.0,46470.0,9205,34896,46480.0,CU2006,copper,CU2006
2020-02-19,46430.0,46730.0,46400.0,46600.0,8783,36567,46560.0,CU2006,copper,CU2006
2020-02-20,46610.0,46750.0,46430.0,46590.0,11035,40462,46570.0,CU2006,copper,CU2006
2020-02-21,46490.0,46520.0,46170.0,46180.0,9344,42752,46380.0,CU2006,copper,CU2006
2020-02-24,46000.0,46220.0,45920.0,46190.0,10897,44263,46050.0,CU2006,copper,CU2006
2020-02-25,46050.0,46170.0,45860.0,46100.0,11359,46297,46040.0,CU2006,copper,CU2006
2020-02-26,45850.0,45930.0,45740.0,45760.0,12401,49109,45830.0,CU2006,copper,CU2006
2020-02-27,45710.0,45800.0,45600.0,45620.0,9716,49971,45680.0,CU2006,copper,CU2006
2020-02-28,45560.0,45560.0,44480.0,44570.0,26271,52303,45010.0,CU2006,copper,CU2006
2020-03-02,44770.0,45550.0,44750.0,45440.0,24283,54778,45240.0,CU2006,copper,CU2006
2020-03-03,45860.0,46220.0,45700.0,45830.0,17007,54417,45870.0,CU2006,copper,CU2006
